source,target
YDR477W,YGL115W
YDR477W,YDR422C
YDR477W,YDR028C
YDR477W,YGL035C
YDR477W,YER027C
YDR477W,YGL208W
YDR477W,YJL089W
YDR477W,YNL257C
YDR477W,YER129W
YDR477W,YOR047C
YER148W,YGR274C
YER148W,YBR198C
YER148W,YPL082C
YER148W,YOR194C
YER148W,YKL058W
YER148W,YDR167W
YER148W,YGR246C
YER148W,YML015C
YER148W,YGL112C
YER148W,YPR086W
YER148W,YPL248C
YER148W,YDR145W
YER148W,YPL129W
YER148W,YCR042C
YER148W,YDR392W
YER148W,YMR005W
YER148W,YML098W
YER148W,YMR236W
YER148W,YDR176W
YER148W,YDL140C
YER148W,YGL241W
YER148W,YMR227C
YER148W,YOL148C
YER148W,YML114C
YER148W,YOR039W
YER148W,YMR270C
YER148W,YLR399C
YER148W,YFR034C
YER148W,YLR418C
YER148W,YLR055C
YER148W,YNL039W
YER148W,YPL011C
YER148W,YDR448W
YER148W,YGL048C
YGR274C,YDR167W
YGR274C,YGL112C
YGR274C,YDR145W
YGR274C,YBR198C
YGR274C,YPL011C
YGR274C,YPL129W
YGR274C,YMR005W
YGR274C,YMR236W
YGR274C,YML015C
YGR274C,YML098W
YGR274C,YCR042C
YGR274C,YML114C
YGR274C,YMR227C
YML051W,YPL248C
YML051W,YDR009W
YML051W,YBR020W
YPL248C,YOL051W
YPL248C,YPL042C
YPL248C,YGL048C
YPL248C,YGL112C
YPL248C,YER022W
YPL248C,YPR086W
YPL248C,YDR448W
YPL248C,YDR167W
YPL248C,YHR099W
YPL248C,YNL025C
YPL248C,YDR145W
YPL248C,YOR259C
YDR097C,YOL090W
YDR097C,YBR088C
YOL090W,YBR088C
YOL090W,YOR033C
YOL090W,YMR167W
YOL090W,YCR092C
YDR448W,YGR252W
YDR448W,YDR176W
YDR448W,YGL112C
YDR448W,YBR081C
YDR448W,YOL148C
YDR448W,YLR055C
YDR448W,YBR198C
YDR448W,YDR167W
YDR448W,YMR223W
YDR448W,YDR145W
YDR448W,YDR392W
YDR448W,YPL254W
YDR448W,YEL009C
YDR448W,YMR236W
YDR448W,YPL047W
YDR448W,YHR099W
YDR448W,YGL066W
YDR448W,YCL010C
YDR448W,YDR225W
YGR252W,YMR223W
YGR252W,YDR167W
YGR252W,YDR176W
YGR252W,YBR010W
YGR252W,YBR081C
YGR252W,YPL047W
YGR252W,YNL031C
YGR252W,YBR009C
YGR252W,YGL112C
YGR252W,YMR236W
YGR252W,YDR225W
YGR252W,YBR198C
YGR252W,YNL030W
YGR252W,YDR145W
YGR252W,YHR099W
YBL016W,YDR103W
YBL016W,YDL159W
YBL016W,YPL049C
YBL016W,YLR362W
YBL016W,YDR480W
