node,degree
YDR477W,10
YGL115W,1
YER148W,34
YGR274C,14
YML051W,3
YPL248C,14
YDR097C,2
YOL090W,5
YDR448W,21
YGR252W,16
YBL016W,11
YDR103W,7
YDR217C,1
YPL153C,6
YMR167W,5
YNL082W,1
YBR198C,24
YDR176W,16
YHL007C,5
YLR229C,13
YCL032W,3
YLR362W,10
YDR227W,7
YLR442C,9
YHR005C,5
YOR212W,9
YLR347C,13
YOR098C,4
YER095W,5
YML032C,4
YDL159W,4
YCR039C,2
YCR097W,1
YDR328C,15
YFL009W,6
YJR090C,4
YBR112C,5
YCR084C,8
YAL021C,6
YNR052C,9
YPL082C,1
YIL109C,6
YPR181C,9
YNL189W,9
YDR167W,25
YBL084C,12
YKL022C,12
YOR194C,2
YDR404C,4
YJL140W,6
YDR189W,4
YLR026C,13
YKL058W,3
YDR309C,1
YLR335W,5
YFR034C,7
YPL031C,11
YHR061C,2
YLR093C,5
YOR106W,8
YNL262W,5
YPR175W,4
YLR268W,12
YGR246C,4
YDL140C,40
YIL021W,13
YMR094W,4
YDR002W,2
YLR293C,14
YML015C,8
YDL132W,12
YGL112C,28
YER022W,17
YGR104C,19
YBR160W,36
YPL256C,9
YOR027W,3
YPL240C,22
YDL042C,3
YMR197C,10
YAL041W,5
YBR200W,7
YIL144W,4
YMR117C,5
YDR145W,22
YGL207W,13
YML069W,8
YPR119W,16
YDR311W,5
YER171W,6
YPR086W,6
YNL172W,7
YBR136W,4
YDR499W,1
YHR041C,7
YGR200C,7
YPL086C,6
YFR028C,3
YJL076W,6
YBR081C,16
YHR172W,4
YLR212C,4
YDL017W,5
YDR052C,4
YML095C,2
YPL022W,2
YGR009C,6
YPL232W,5
YNL126W,4
YCR088W,8
YNL138W,3
YDR388W,14
YOR181W,18
YDR118W,12
YMR146C,7
YOR361C,9
YMR309C,7
YPR041W,8
YIL126W,13
YLR357W,13
YBR253W,4
YDR121W,6
YGL044C,3
YMR061W,3
YLR127C,11
YOL148C,14
YBR079C,7
YNL298W,2
YHR107C,8
YJR076C,7
YHR166C,10
YDR054C,4
YLL036C,32
YPR101W,5
YOL051W,10
YLR055C,12
YGL238W,2
YAL043C,14
YNL317W,12
YJR017C,1
YGL163C,1
YDR028C,4
YER133W,24
YNL244C,6
YDL030W,3
YJL203W,3
YDR211W,6
YOR260W,7
YDL106C,3
YOR249C,7
YNL025C,3
YPL042C,4
YGR047C,8
YDR009W,1
YLR384C,6
YLR005W,3
YLR102C,5
YDL235C,3
YLR006C,2
YHR187W,6
YER012W,13
YKL145W,9
YBR278W,3
YGL130W,2
YPL228W,3
YLR078C,5
YPL218W,5
YGL240W,8
YIL046W,3
YLR288C,3
YOR368W,2
YMR047C,23
YJR053W,3
YML064C,3
YGL025C,15
YLR071C,23
YER018C,4
YDR468C,7
YGL233W,6
YPR055W,7
